x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,,PEG,IFN,HSA,,IFN-PEG,HSA-PEG,IFN,control
14.2,0,0,21.5,12.4,0,0.3,0,0,0,5.9,46.8,,0.186,1.562,1.768,,1.376,1.582,2.611835647,2.60772585
22.7,0,0,0,11.5,0,9.9,0,0,0,6.9,49.9,,0.018,0.004,0.006,,-0.014,-0.012,2.421433572,2.545409957
0,0,0,31.6,15.1,0,5.8,0,0,0,5.3,43.3,,0.078,0.928,0.849,,0.85,0.771,2.440608656,2.408872876
0,0,0,0,14.3,0,31.4,0,0,0,8.1,47.2,,0.039,0.044,0.043,,0.005,0.004,2.397675027,2.674642674
44.2,0,0,0,12.3,0,0,0,0,0,1.9,42.6,,0.036,0.048,0.053,,0.012,0.017,2.550768578,2.944196061
9.5,0,0,35.5,13.2,0,0,0,0,0,0,42.8,,0.083,0.909,0.867,,0.826,0.784,2.562927757,2.416909063
17.6,0,0,23.7,15.7,0,0,0,0,0,0,43.9,,0.086,1.327,1.507,,1.241,1.421,2.521666678,2.792484727
12.5,0,0,0,13.3,0,15.8,0,0,0,5.3,54.1,,0.031,0.032,0.034,,0.001,0.003,2.017377984,2.115768554
0,0,0,24.7,16.9,0,0,0,0,0,18.8,40.6,,0.15,1.081,1.03,,0.931,0.88,2.23222484,2.464965972
13.5,6.2,0,0,19.7,0,10.8,0,0,0,11.6,39.3,,0.01,-0.003,0,,-0.013,-0.01,2.211823083,2.929485292
32.5,0,0,0,15.6,0,0,0,0,0,0,53,,0.037,0.037,0.034,,0,-0.003,1.920261743,2.214535137
14,0,0,13.3,21.5,0,6.5,0,0,0,0,45.7,,0.196,( + ),( + ),,#VALUE!,#VALUE!,1.822451806,2.450175885
37.1,0,0,0,9.5,0,0,0,0,0,0,54.4,,0.043,0.05,0.045,,0.007,0.002,1.752215454,1.802853907
0,0,0,0,11,0,21.8,0,0,0,22.6,45.6,,0.044,0.047,0.052,,0.003,0.008,2.421112215,2.603272923
9.2,0,33,0,12.5,0,0,0,0,0,0.1,46.2,,0.174,1.075,1.011,,0.901,0.837,2.584879033,2.649720654
0,0,32.6,0,11.5,0,0,0,0,0,7,49.9,,0.06,0.277,0.29,,0.217,0.23,2.237362499,2.180263326
0,0,0,0,16.4,0,0,42.9,0,0,0,41.8,,0.116,0.652,0.46,,0.536,0.344,2.278198175,2.209016112
20.4,0,0,0,9.4,0,0,0,0,0,25.6,45.7,,0.003,0.005,0.006,,0.002,0.003,2.383931493,2.628218821
0,0,24.4,0,11.1,15.4,0,0,0,0,0,50.1,,0.036,0.037,0.041,,0.001,0.005,1.978527265,2.028117418
21.9,0,0,0,11,0,17.8,0,0,0,4.3,45.9,,0.042,0.04,0.04,,-0.002,-0.002,2.745094013,2.952448414
0,0,0,0,12.7,20,0,0,0,0,26.5,41.8,,0.041,0.048,0.049,,0.007,0.008,2.021444299,2.396046889
4.6,0,40.3,0,14.2,0,0,0,0,0,0,42,,0.239,( + ),( + ),,#VALUE!,#VALUE!,2.521656701,2.575997029
21.3,0,0,0,15.4,0,0,0,0,0,13.6,50.7,,0.043,0.049,0.049,,0.006,0.006,2.192767165,2.534382362
19.8,0,0,0,8.4,0,0,0,0,0,33.2,39.7,,0.03,0.041,0.044,,0.011,0.014,2.234639302,2.628082309
2.5,0,0,19.6,23.7,0,0,12.2,0,0,0,43,,0.133,0.763,0.626,,0.63,0.493,1.547191424,2.037356819
0,0,0,0,13.2,0,0,0,37.2,0,0,50.5,,0.172,1.525,1.487,,1.353,1.315,2.166350137,2.186889423
0.9,0,0,0,13.7,0,0,0,18.4,0,16.1,51.8,,0.035,0.033,0.038,,-0.002,0.003,2.083472914,2.193022154
0,0,0,0,13,0,0,0,14.7,0,15.8,57.5,,0.04,0.044,0.043,,0.004,0.003,1.62280055,1.630973375
0,0,28.7,0,12.8,0,0,0,0,0,17.4,42.2,,0.297,( + ),( + ),,#VALUE!,#VALUE!,2.578100241,2.732032581
11.6,0,0,27.1,12.1,0,0,0,0,0,8.8,41.4,,0.089,1.261,1.287,,1.172,1.198,2.743504098,2.657914707
13.9,0,0,0,8.4,0,16.8,0,0,0,7.9,53.9,,0.045,0.048,0.049,,0.003,0.004,1.820161194,1.769500524
20.9,0,0,0,13.4,23.2,0,0,0,0,1.3,42.2,,0.029,0.025,0.033,,-0.004,0.004,2.265861988,2.752951546
46.4,0,0,0,9.7,0,0,0,0,0,0,44.9,,0.096,0.066,0.085,,-0.03,-0.011,2.302397442,2.550330209
0,1.7,0,0.8,20,7.8,0,0,0,0,28.3,42.4,,0.006,0,0.004,,-0.006,-0.002,1.816595209,2.474270766
13,0,0,28,21.9,0,0,0,0,0,0,38.2,,0.075,0.861,0.738,,0.786,0.663,1.77740819,2.156670816
0,0,0,0,19.8,38.2,0,0,0,0,0,43,,0.051,0.062,0.08,,0.011,0.029,1.404366292,1.889229833
0,0,0,0,12,0,0,41.7,0,0,1,46.3,,0.089,0.936,0.821,,0.847,0.732,2.363590126,2.035367019
0,0,0,0,14.4,0,47.5,0,0,0,0,39.1,,0.307,( + ),( + ),,#VALUE!,#VALUE!,2.33818588,2.835397428
0,0,0,0,17.4,15,0,0,15.1,0,0,53.5,,0.042,0.045,0.049,,0.003,0.007,1.654967742,1.908363075
0,0,0,0,17.6,0,0,0,26.5,0,0,56.9,,0.026,0.023,0.029,,-0.003,0.003,1.51682061,1.690191911
0,0,0,0,12.6,4.8,17.5,0,0,0,16.8,49.4,,0.109,0.067,0.084,,-0.042,-0.025,2.276223388,2.396629905
45.8,0,0,0,14.5,0,0,0,0,0,3.3,37.4,,0.011,0.016,0.02,,0.005,0.009,2.404636273,2.976371277
0,0,0,0,10.9,0,33.3,0,0,0,18.9,37.9,,0.145,2.983,( + ),,2.838,#VALUE!,2.43900043,2.738466342
0,0,0,40.6,19.8,0,0,0,0,0,0,40.6,,0.077,0.549,0.419,,0.472,0.342,1.867347268,1.965835227
0,0,0,0,12.8,0,11.8,0,34.7,0,0,41.7,,0.208,3.408,( + ),,3.2,#VALUE!,2.665550924,2.76925935
0,0,0,0,13.1,0,0,33.4,0,0,14,40.5,,0.083,0.803,0.747,,0.72,0.664,2.542453417,2.408941511
0.3,0,0,0,7.4,0,0,0,0,0,48.9,44.5,,0.066,0.176,0.174,,0.11,0.108,1.591445373,1.878140273
37.3,0,0,0,20.5,0,0,0,0,0,0,43.2,,0.029,0.024,0.027,,-0.005,-0.002,1.913032953,2.662564299
0,0,0,0,11.5,0,0,20.7,0,0,14.1,54.7,,0.192,2.513,3.063,,2.321,2.871,1.831087115,1.755414079
16.7,0,0,0,11.7,0,0,0,26.5,0,0,46.2,,0.276,3.194,( + ),,2.918,#VALUE!,2.672476894,2.812036852
0,0,0,0,14.3,30.8,0,0,0,0,5.4,50.5,,0.04,0.037,0.042,,-0.003,0.002,1.626304115,1.872058633
12.3,0,24.6,0,8.2,0,2.5,0,0,0,0,53.4,,0.04,0.043,0.066,,0.003,0.026,1.825090884,1.79890315
15.3,0,0,0,23.2,0,0,0,0,0,19.3,43.3,,0.046,0.049,0.051,,0.003,0.005,1.659138909,2.433212777
4.5,0,6.4,14.7,15.8,2.5,0.1,0,0,0,14.5,42.5,,0.121,1.862,2.635,,1.741,2.514,2.519465792,2.881318486
0,0,0,16.7,15.1,8.3,0,0,0,0,14.4,46.5,,0.112,0.56,0.428,,0.448,0.316,2.295790817,2.477310962
0,0,0,0,12,0,45.5,0,0,0,0,43.5,,0.252,( + ),( + ),,#VALUE!,#VALUE!,2.391653005,2.697634751
0,0,37.6,0,16.2,0,0,0,0,0,8.2,39,,0.259,2.992,3.201,,2.733,2.942,2.298814406,2.453617034
25.7,0,0,0,16.7,7.9,0,0,0,0,0,50.6,,0.006,0.006,0.001,,0,-0.005,2.031911204,2.438613907
0,0,28.9,0,15.1,0,0,0,0,0,0,57,,0.038,0.041,0.04,,0.003,0.002,1.616991768,1.684991105
21.2,0,0,28.5,13.6,0,0,0,0,0,0,37.7,,0.081,0.86,0.877,,0.779,0.796,2.538457838,2.643012931
31.7,0,0,0,14.6,0,0,0,0,0,9.5,45.1,,0.047,0.052,0.049,,0.005,0.002,2.598295319,3.066122536
5.9,0,0,0,10.7,0,1.9,0,0,34.7,2.5,45.2,,0.354,( + ),( + ),,#VALUE!,#VALUE!,2.616768933,2.656343737
7.7,0,0,0,13.6,29.9,0,0,0,0,10.5,39.3,,0.05,0.053,0.048,,0.003,-0.002,1.879968328,2.306484476
34.7,0,0,0,9.6,0,0,0,0,0,20.4,36.3,,0.285,2.533,( + ),,2.248,#VALUE!,2.452162682,2.863882742
2.5,0,0,0,23.4,25,0,0,0,0,9.1,40.9,,0.112,0.076,0.093,,-0.036,-0.019,1.451994921,2.002511101
22.7,0,0,2.1,23.9,11.9,0,0,0,0,0,40.4,,0.008,0.013,0.008,,0.005,0,1.593804705,2.300665755
0,27.9,0,0,11.9,3.1,0,0,0,0,11.7,46.4,,0.045,0.047,0.045,,0.002,0,2.486046115,2.476659522
0,0,0,0,14.7,0,0,0,45.8,0,0,40.6,,0.146,2.852,( + ),,2.706,#VALUE!,2.489818076,2.633718824
0,0,0,0,12.6,23,22.8,0,0,0,0,42.7,,0.038,0.048,0.049,,0.01,0.011,2.107309845,2.410615663
20.3,0,0,17.2,15.7,0,0,0,0,0,12.4,35.4,,0.087,1.533,1.646,,1.446,1.559,2.394494516,2.76289646
18,0,0,0,9.7,0,24.4,0,0,0,0,48.9,,0.044,0.052,0.05,,0.008,0.006,2.327779162,2.428394568
0,10.3,0,0,18.4,19,0,0,0,0,10,43.4,,0.022,0.025,0.027,,0.003,0.005,1.966354539,2.456025499
0,0,0,41.6,15.2,0,0,0,0,0,5.8,38.4,,0.16,0.686,0.536,,0.526,0.376,2.207028574,2.015061709
52.8,0,0,0,14.7,0,0,0,0,0,0,33.4,,0.052,0.254,0.256,,0.202,0.204,2.021818592,2.578004703
6.3,0,0,0,17.3,0,0,0,0.4,13.4,11.4,52.3,,0.042,0.046,0.046,,0.004,0.004,1.911697239,2.234821692
0,0,0,0,20.3,21.6,0,0,0,0,11.6,47.5,,0.035,0.049,0.041,,0.014,0.006,1.634072964,2.142985458
5.1,43,7,4.2,1.6,3.8,8.8,5.1,1.3,8.5,8.2,2.6,,0.05,0.182,0.127,,0.132,0.077,0.25195522,0.228801523
18.1,0,0,0,23.5,12.9,3.5,0,0,0,8,35,,0.047,0.05,0.047,,0.003,0,1.605720712,2.144880606
8,0,0,0,17.6,0,4.4,32.3,0,0,0,38.7,,0.087,0.908,0.767,,0.821,0.68,2.291396419,2.534981472
2,0,0,0,15.4,13.7,0,3.1,0,6.2,0,60.5,,0.022,0.026,0.022,,0.004,0,1.325593041,1.396481839
0.8,5.7,6.6,11.8,0.9,9.1,0.6,12.5,5.5,6.8,28.5,10.5,,0.111,0.11,0.109,,-0.001,-0.002,0.175922868,0.110054166
0,0,22.9,0,15.4,16.8,0,0,0,0,0,45.9,,0.008,0.011,0.005,,0.003,-0.003,2.150923366,2.466199235
21.6,0,0,0,11,19.3,0,0,0,0,0,49.1,,0.046,0.048,0.045,,0.002,-0.001,2.057522778,2.250337607
0,45.1,0,0,17.1,0,0,0,0,0,1.5,37.2,,0.117,0.856,0.893,,0.739,0.776,2.174363041,2.376744087
20.3,0,0,0,14.3,0,0,0,0,18.9,0,47.5,,0.051,0.092,0.068,,0.041,0.017,2.524896503,2.865395479
0,0,0,0,18.5,0,0,36.1,0,0,0,46.4,,0.08,0.852,0.734,,0.772,0.654,2.008126124,2.215828746
0,0,36.9,0,15.4,0,0,0,0,0,0,48.7,,0.065,0.198,0.215,,0.133,0.15,2.164909163,2.280818343
1.2,0,35.8,0,16.6,3.9,0,0,0,0,0,43.6,,0.022,0.047,0.051,,0.025,0.029,2.289845961,2.522056947
9.6,0,0,2.2,17.1,0,0,0,0,17.1,10.4,44.5,,0.186,0.673,0.643,,0.487,0.457,2.431828262,2.963238919
18.4,0,22,0,19.1,0,0,0,0,0,0,41.5,,0.015,0.04,0.037,,0.025,0.022,2.222610204,2.895823864
28.7,0,0,0,10.3,8.1,0,0,0,0,3.2,50.8,,0.047,0.048,0.055,,0.001,0.008,2.131066125,2.223566244
0,5.2,0,0,10.8,11.5,2.7,0,24.6,0,0,46.2,,0.035,0.043,0.041,,0.008,0.006,2.274023707,2.273852499
0,0,4.8,0,14.8,0,0,0,19.7,0,0,61.7,,0.039,0.05,0.047,,0.011,0.008,1.319986729,1.351988945
0,0,0,0,16,0,0,24.2,0,0,0,60.8,,0.142,( + ),( + ),,#VALUE!,#VALUE!,1.329925818,1.364729138
7.8,0,0,22.7,17,0,0,0,0,0,19.5,34,,0.081,1.086,1.085,,1.005,1.004,2.017230127,2.205677204
0,0,0,13.4,26.7,0,0,0,0,0,17.7,43.2,,0.169,( + ),( + ),,#VALUE!,#VALUE!,1.266333354,1.830342588
